movieCd,movieNm,director,naver_movieCd,ntz_see_score,spc_score,ntz_score
20168183,콩: 스컬 아일랜드,조던 복트-로버츠,127397.0,8.12,6.17,7.76
20168750,파도가 지나간 자리,데릭 시엔프랜스,125417.0,8.93,6.0,9.01
20170761,걸 온 더 트레인,테이트 테일러,142255.0,7.41,4.67,7.4
20170509,극장판 소드 아트 온라인 -오디널 스케일-,이토 토모히코,159408.0,9.25,0.0,8.93
20167905,비정규직 특수요원,김덕수,152161.0,7.26,3.25,6.02
20178942,스페이스 비트윈 어스,피터 첼섬,143437.0,8.37,6.0,7.42
20170221,골드,스티븐 개건,143379.0,8.6,5.75,8.6
20168742,아우토반,에란 크리비,110379.0,7.72,4.0,7.74
20164926,분노,이상일,142730.0,8.77,7.33,8.57
20151228,공조,김성훈,142384.0,8.83,5.0,8.27
20151229,더 킹,한재림,144314.0,8.39,6.83,8.08
20168688,레지던트 이블: 파멸의 날,폴 W.S. 앤더슨,110333.0,8.59,6.0,8.38
20165443,모아나,론 클레멘츠,130849.0,9.22,6.4,9.15
20167324,라이언,가스 데이비스,134841.0,9.3,6.5,9.18
20168154,딥워터 호라이즌,피터 버그,137346.0,8.77,6.5,8.05
20167285,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,타카하시 와타루,149050.0,8.76,0.0,8.86
20163845,터닝메카드W: 블랙미러의 부활,김석원,155484.0,8.87,0.0,8.73
20179281,컨택트,드니 빌뇌브,136869.0,8.45,7.29,8.18
20165822,매기스 플랜,레베카 밀러,136859.0,8.07,6.86,7.91
20162873,레고 배트맨 무비,크리스 맥케이,132627.0,8.7,6.67,8.55
20154342,뚜르: 내 생애 최고의 49일,전일우,142304.0,9.51,6.2,9.25
20167644,발레리나,에릭 섬머,130984.0,8.95,0.0,8.53
20167716,트리플 엑스 리턴즈,D.J. 카루소,102278.0,8.18,0.0,6.98
20178881,명탐정 코난: 에피소드 원-작아진 명탐정,야마모토 야스이치로,158849.0,0.0,0.0,6.48
20161141,50가지 그림자: 심연,제임스 폴리,144081.0,7.77,2.25,7.42
20163580,그레이트 월,장예모,126034.0,7.92,4.5,6.45
20167362,더 큐어,고어 버빈스키,143372.0,7.33,6.2,7.25
20161366,"그래, 가족",마대윤,151192.0,9.26,4.5,8.33
20167906,마이펫 오지,알베르토 로드리게즈,157500.0,8.08,0.0,8.24
20161723,싱글라이더,이주영,146459.0,8.01,5.9,8.23
20156562,루시드 드림,김준성,130713.0,8.06,3.0,5.87
20167922,핵소 고지,멜 깁슨,142305.0,9.19,6.0,9.2
