,movieNm,naver_movieCd,ntz_see_score,spc_score,ntz_score
435,퍼스널 쇼퍼,144221,0.0,0.0,4.25
436,라이언,134841,7.77,2.25,7.42
437,언더월드: 블러드 워,137887,0.0,0.0,6.06
438,가족의 재구성,158634,9.3,6.5,9.18
439,해빙,137875,9.15,6.38,8.99
440,친구부부 : 욕망의 스와핑,157437,7.94,6.5,7.65
441,일본 엄마,158466,9.51,6.2,9.25
442,얼라이드,149777,8.27,6.47,8.35
443,딥워터 호라이즌,137346,0.0,0.0,6.48
444,맛있는 워킹걸,158764,9.42,6.93,9.04
445,프리즌,146517,8.81,7.54,8.75
446,군함도,146506,8.56,5.22,8.03
447,캐리비안의 해적: 죽은 자는 말이 없다,82473,0.0,0.0,0.0
448,"그래, 가족",151192,8.3,0.0,8.27
449,제리 맥과이어,17942,7.92,4.5,6.45
450,맨체스터 바이 더 씨,137956,7.66,6.9,7.46
451,루시드 드림,130713,9.48,7.0,8.38
452,히든 피겨스,147092,8.56,5.94,7.94
453,판도라,132933,8.69,7.08,8.18
454,뚜르: 내 생애 최고의 49일,142304,0.0,0.0,0.0
455,여교사,139673,0.0,0.0,5.21
456,"구름의 저편, 약속의 장소",38249,0.0,0.0,8.81
457,닥터 스트레인지,125459,8.7,6.0,8.5
458,트리플 엑스 리턴즈,102278,9.02,7.55,8.75
459,50가지 그림자: 심연,144081,9.22,6.4,9.15
460,더 킹,144314,8.45,7.29,8.18
461,핵소 고지,142305,8.77,6.5,8.05
462,너의 이름은.,150198,8.9,8.34,8.59
463,스노든,134887,7.31,6.78,6.61
464,재심,149512,8.65,5.77,8.1
465,레고 배트맨 무비,132627,8.39,6.0,8.03
466,레지던트 이블: 파멸의 날,110333,8.88,7.03,8.71
467,녹터널 애니멀스,143409,8.59,6.88,8.57
468,더 큐어,143372,0.0,0.0,6.65
469,패신저스,116233,0.0,0.0,3.67
470,마스터,145162,7.42,6.4,7.09
471,발레리나,130984,8.07,6.86,7.91
472,언프렌드,146361,8.87,0.0,8.73
473,명탐정 코난 : 에피소드 원 - 작아진 명탐정,158849,8.18,0.0,6.98
474,언더월드: 블러드 워,137887,7.77,2.25,7.42
475,가족의 재구성,158634,7.34,6.17,5.28
476,라이언,134841,0.0,0.0,6.06
477,사일런스,90922,9.3,6.5,9.18
478,친구부부 : 욕망의 스와핑,157437,9.15,6.38,8.99
479,프리즌,146517,9.51,6.2,9.25
480,"그래, 가족",151192,8.27,6.47,8.35
481,맨체스터 바이 더 씨,137956,0.0,0.0,6.48
482,얼라이드,149777,8.81,7.54,8.75
483,맛있는 워킹걸,158764,8.56,5.22,8.03
484,히든 피겨스,147092,0.0,0.0,0.0
485,제리 맥과이어,17942,9.6,0.0,9.39
486,캐리비안의 해적: 죽은 자는 말이 없다,82473,8.3,0.0,8.27
487,루시드 드림,130713,7.92,4.5,6.45
488,존 윅 - 리로드,143932,7.66,6.9,7.46
489,일본 엄마,158466,9.48,7.0,8.38
490,판도라,132933,8.56,5.94,7.94
491,딥워터 호라이즌,137346,8.69,7.08,8.18
492,그레이의 50가지 그림자,115303,0.0,0.0,0.0
493,"구름의 저편, 약속의 장소",38249,0.0,0.0,5.21
494,국가의 탄생,143410,0.0,0.0,8.81
495,트롤,101904,8.7,6.0,8.5
496,닥터 스트레인지,125459,8.86,5.83,8.73
497,스노든,134887,8.9,8.34,8.59
498,너의 이름은.,150198,7.31,6.78,6.61
499,재심,149512,8.58,6.5,8.86
500,모아나,130849,8.65,5.77,8.1
501,더 큐어,143372,8.88,7.03,8.71
502,그레이트 월,126034,8.76,0.0,8.86
503,발레리나,130984,0.0,0.0,6.65
504,레지던트 이블: 파멸의 날,110333,0.0,0.0,3.67
505,라라랜드,134963,7.42,6.4,7.09
506,언더월드: 블러드 워,137887,8.07,6.86,7.91
507,마스터,145162,9.19,6.0,9.2
508,패신저스,116233,8.87,0.0,8.73
509,언프렌드,146361,0.0,0.0,4.25
510,퍼스널 쇼퍼,144221,8.18,0.0,6.98
511,친구부부 : 욕망의 스와핑,157437,0.0,0.0,6.06
512,프리즌,146517,9.3,6.5,9.18
513,라이언,134841,9.15,6.38,8.99
514,"그래, 가족",151192,7.94,6.5,7.65
515,맨체스터 바이 더 씨,137956,9.51,6.2,9.25
516,사일런스,90922,8.27,6.47,8.35
517,제리 맥과이어,17942,8.81,7.54,8.75
518,얼라이드,149777,8.56,5.22,8.03
519,트롤,101904,0.0,0.0,0.0
520,히든 피겨스,147092,9.6,0.0,9.39
521,존 윅 - 리로드,143932,8.3,0.0,8.27
522,국가의 탄생,143410,7.92,4.5,6.45
523,루시드 드림,130713,7.66,6.9,7.46
524,그레이의 50가지 그림자,115303,9.48,7.0,8.38
525,닥터 스트레인지,125459,8.56,5.94,7.94
526,맛있는 워킹걸,158764,0.0,0.0,0.0
527,판도라,132933,0.0,0.0,8.81
528,"나, 다니엘 블레이크",150376,8.7,6.0,8.5
529,삼소야적검,151132,8.86,5.83,8.73
530,50가지 그림자: 심연,144081,8.59,6.0,8.38
531,컨택트,136869,9.02,7.55,8.75
532,재심,149512,8.77,6.5,8.05
533,더 큐어,143372,8.9,8.34,8.59
534,그레이트 월,126034,7.31,6.78,6.61
535,핵소 고지,142305,8.58,6.5,8.86
536,너의 이름은.,150198,8.39,6.0,8.03
537,모아나,130849,8.88,7.03,8.71
538,녹터널 애니멀스,143409,8.76,0.0,8.86
539,발레리나,130984,8.78,5.92,8.31
540,언더월드: 블러드 워,137887,0.0,0.0,6.65
541,마스터,145162,8.07,6.86,7.91
542,레지던트 이블: 파멸의 날,110333,9.19,6.0,9.2
543,싱글라이더,146459,8.18,0.0,6.98
544,프리즌,146517,7.77,2.25,7.42
545,"그래, 가족",151192,7.34,6.17,5.28
546,퍼스널 쇼퍼,144221,0.0,0.0,6.06
547,맨체스터 바이 더 씨,137956,9.15,6.38,8.99
548,얼라이드,149777,9.51,6.2,9.25
549,트롤,101904,8.27,6.47,8.35
550,라이언,134841,0.0,0.0,6.48
551,해빙,137875,9.42,6.93,9.04
552,사일런스,90922,8.56,5.22,8.03
553,제리 맥과이어,17942,0.0,0.0,0.0
554,문라이트,152684,9.6,0.0,9.39
555,미인어,127383,7.66,6.9,7.46
556,삼소야적검,151132,9.48,7.0,8.38
557,군함도,146506,8.56,5.94,7.94
558,로건,117787,0.0,0.0,8.81
559,마이펫 오지,157500,8.7,6.0,8.5
560,판도라,132933,8.86,5.83,8.73
561,더 킹,144314,9.22,6.4,9.15
562,트리플 엑스 리턴즈,102278,8.45,7.29,8.18
563,그레이트 월,126034,8.9,8.34,8.59
564,더 큐어,143372,7.31,6.78,6.61
565,너의 이름은.,150198,8.65,5.77,8.1
566,스노든,134887,8.39,6.0,8.03
567,23 아이덴티티,144927,8.59,6.88,8.57
568,발레리나,130984,8.76,0.0,8.86
569,언더월드: 블러드 워,137887,8.78,5.92,8.31
570,레고 배트맨 무비,132627,0.0,0.0,6.65
571,싱글라이더,146459,8.07,6.86,7.91
572,"그래, 가족",151192,9.19,6.0,9.2
573,마스터,145162,8.87,0.0,8.73
